date,pm25,pm10,o3,no2,so2,co
2016-08-09,,25.0,,,,
2016-08-10,,9.0,,,,
2016-08-11,,20.0,,,,
2016-08-12,,25.0,,,,
2016-08-13,,18.0,,,,
2016-08-14,,16.0,,,,
2016-08-15,,19.0,,,,
2016-08-16,,32.0,,,,
2016-08-17,,26.0,,,,
2016-08-18,,31.0,,,,
2016-08-19,,35.0,,,,
2016-08-20,,32.0,,,,
2016-08-21,,29.0,,,,
2016-08-22,,22.0,,,,
2016-08-23,,23.0,,,,
2016-08-24,,20.0,,,,
2016-08-25,,21.0,,,,
2016-08-26,,29.0,,,,
2016-08-27,,33.0,,,,
2016-08-28,,29.0,,,,
2016-08-29,,34.0,,,,
2016-08-30,,20.0,,,,
2016-08-31,,26.0,,,,
2016-09-01,,38.0,,,,
2016-09-02,,45.0,,,,
2016-09-03,,43.0,,,,
2016-09-04,,26.0,,,,
2016-09-05,,11.0,,,,
2016-09-06,,14.0,,,,
2016-09-07,,30.0,,,,
2016-09-08,,32.0,,,,
2016-09-09,,42.0,,,,
2016-09-10,,45.0,,,,
2016-09-11,,53.0,,,,
2016-09-12,,38.0,,,,
2016-09-13,,44.0,,,,
2016-09-14,,34.0,,,,
2016-09-15,,36.0,,,,
2016-09-16,,49.0,,,,
2016-09-17,,42.0,,,,
2016-09-18,,35.0,,,,
2016-09-19,,30.0,,,,
2016-09-20,,25.0,,,,
2016-09-21,,29.0,,,,
2016-09-22,,33.0,,,,
2016-09-23,,35.0,,,,
2016-09-24,,45.0,,,,
2016-09-25,,27.0,,,,
2016-09-26,,24.0,,,,
2016-09-27,,32.0,,,,
2016-09-28,,45.0,,,,
2016-09-29,,26.0,,,,
2016-09-30,,33.0,,,,
2016-10-01,,43.0,,,,
2016-10-02,,32.0,,,,
2016-10-03,,12.0,,,,
2016-10-04,,13.0,,,,
2016-10-05,,7.0,,,,
2016-10-06,,13.0,,,,
2016-10-07,,33.0,,,,
2016-10-08,,40.0,,,,
2016-10-09,,34.0,,,,
2016-10-10,,30.0,,,,
2016-10-11,,21.0,,,,
2016-10-12,,13.0,,,,
2016-10-13,,18.0,,,,
2016-10-14,,24.0,,,,
2016-10-15,,20.0,,,,
2016-10-16,,19.0,,,,
2016-10-17,,13.0,,,,
2016-10-18,,32.0,,,,
2016-10-19,,40.0,,,,
2016-10-20,,34.0,,,,
2016-10-21,,37.0,,,,
2016-10-22,,42.0,,,,
2016-10-23,,31.0,,,,
2016-10-24,,42.0,,,,
2016-10-25,,35.0,,,,
2016-10-26,,26.0,,,,
2016-10-27,,41.0,,,,
2016-10-28,,53.0,,,,
2016-10-29,,18.0,,,,
2016-10-30,,18.0,,,,
2016-10-31,,25.0,,,,
2016-11-01,,28.0,,,,
2016-11-02,,20.0,,,,
2016-11-03,,20.0,,,,
2016-11-04,,47.0,,,,
2016-11-05,,34.0,,,,
2016-11-06,,28.0,,,,
2016-11-07,,33.0,,,,
2016-11-08,,46.0,,,,
2016-11-09,,73.0,,,,
2016-11-10,,54.0,,,,
2016-11-11,,27.0,,,,
2016-11-12,,31.0,,,,
2016-11-13,,25.0,,,,
2016-11-14,,43.0,,,,
2016-11-15,,68.0,,,,
2016-11-16,,28.0,,,,
2016-11-17,,36.0,,,,
2016-11-18,,41.0,,,,
2016-11-19,,47.0,,,,
2016-11-20,,29.0,,,,
2016-11-21,,39.0,,,,
2016-11-22,,39.0,,,,
2016-11-23,,62.0,,,,
2016-11-24,,96.0,,,,
2016-11-25,,53.0,,,,
2016-11-26,,58.0,,,,
2016-11-27,,20.0,,,,
2016-11-28,,13.0,,,,
2016-11-29,,27.0,,,,
2016-11-30,,32.0,,,,
2016-12-01,,17.0,,,,
2016-12-02,,15.0,,,,
2016-12-03,,22.0,,,,
2016-12-04,,55.0,,,,
2016-12-05,,77.0,,,,
2016-12-06,,47.0,,,,
2016-12-07,,50.0,,,,
2016-12-08,,34.0,,,,
2016-12-09,,27.0,,,,
2016-12-10,,17.0,,,,
2016-12-11,,15.0,,,,
2016-12-12,,13.0,,,,
